node_id,node_text_normalized,node_type,mention_count
N199,adverse events,Health_factors,3
N200,social brain,region,3
N201,social withdrawal,disease,3
N202,alzheimer's disease,disease,3
N203,meta-analysis,method,3
N204,single nucleotide polymorphisms,gene,3
N205,ltd,disease,3
N206,dcg iv,method,3
N207,drugs,drug,3
N208,paid work,Health_factors,3
N209,heritability,Health_factors,3
N210,lifetime prevalence,signs,3
N211,psychological interventions,method,3
N212,cognitive behavioural therapy,method,3
N213,treatment as usual,method,3
N214,neuroplasticity,physiology,3
N215,severe mental illness,disease,3
N216,suicide,disease,3
N217,attention-deficit hyperactivity disorder,disease,3
N218,loci,gene,3
N219,snps,gene,3
N220,separation anxiety disorder,disease,3
N221,generalized anxiety disorder,disease,3
N222,social phobia,disease,3
N223,combination therapy,method,3
N224,child,Health_factors,3
N225,insomnia,disease,3
N226,dbs,method,3
N227,pharmacological and non-pharmacological interventions,method,3
N228,aripiprazole augmentation,method,3
N229,topiramate,drug,3
N230,dietary interventions,method,3
N231,metformin,drug,3
N232,clozapine,drug,3
N233,gmv,signs,3
N234,clinical symptoms,disease,3
N235,rtms,method,3
N236,family interventions,method,3
N237,family intervention models,method,3
N238,psychosis,disease,3
N239,intentional injuries,disease,3
N240,unipolar depression,disease,3
N241,all-cause mortality,disease,3
N242,mental disorder,disease,3
N243,active stimulation,method,3
N244,sham stimulation,method,3
N245,yale-brown obsessive compulsive scale,method,3
N246,genetics,gene,3
N247,umbrella reviews,method,3
N248,genetic risk,gene,3
N249,tobacco smoking,Health_factors,3
N250,cognitive dysfunction,disease,3
N251,young people,Health_factors,3
N252,amitriptyline,drug,3
N253,intervention,method,3
N254,cbt,method,3
N255,5-ht,drug,3
N256,neuroinflammation,disease,3
N257,personality traits,symptom,3
N258,cancer,disease,3
N259,shared loci,gene,3
N260,younger breast cancer survivors,Health_factors,3
N261,cgi-i,method,3
N262,tsc,physiology,3
N263,adult neurogenesis,physiology,2
N264,female mice,method,2
N265,mixed state,disease,2
N266,clinical characteristics,Health_factors,2
N267,cross-sectional study,method,2
N268,questionnaires,method,2
N269,synaptic plasticity,physiology,2
N270,serotonin-reuptake inhibitors,drug,2
N271,agents,drug,2
N272,critically ill,disease,2
N273,music,Health_factors,2
N274,ventilatory support,Health_factors,2
N275,attention bias modification,method,2
N276,cbm interventions,method,2
N277,standardised mean differences,method,2
N278,circuits,region,2
N279,epidemiology,method,2
N280,antidepressant effect,physiology,2
N281,vomiting,disease,2
N282,randomized controlled trial,method,2
N283,suicidal ideation,disease,2
N284,serum glutamate,drug,2
N285,depressive,disease,2
